id,ma_cam_bien,luu_luong_khai_thac
6312a31c-a116-43d4-8dc1-b61045c702c9,CB-KTN-01,720
67211e93-6316-4fab-9558-644a7e8f9314,CB-KTN-02,720
bdd62884-6dd9-4add-b9ac-8a6b4f83cfad,CB-KTN-03,
ce722459-36b3-44ae-8c39-0f9b7a103ca7,CB-KTN-04,
cb99fc78-d9dd-4bee-b3a5-cb13a1184e69,CB-KTN-05,
303ce85a-9c27-491e-9fc2-f6e51060bacb,CB-KTN-06,288
ff84f1a2-d130-43d5-8792-0f6761d2fe1c,CB-KTN-07,
83d49102-9843-4288-aecb-1f5b14bcc2f4,CB-KTN-08,
5662a598-d640-4f42-ac21-effe177a52b0,CB-KTN-09,720
6a57c8b7-2557-4da9-96cc-0ae632657b3d,CB-KTN-10,720
07b593a6-3113-48d8-a1ee-72ff6ab18624,CB-KTN-11,720
db724bd7-6d94-4499-8ec2-142b07651f92,CB-KTN-12,
64fe735f-9e11-415b-a903-dbe31fd0a60a,CB-KTN-13,480
486fa414-dff4-4795-97c9-c1c6d9e78fba,CB-KTN-14,480
bfef58de-d07b-4388-a2e7-dde019562700,CB-KTN-15,
4eed6872-2c0f-4ee6-90db-16a1f94f2644,CB-KTN-16,288
f76d0411-0d6f-45ad-a103-a983ed1c7d09,CB-KTN-17,720
73ddc8d6-546c-494e-8e4a-46e5f39ab480,CB-KTN-18,150
5ca9e87a-60f1-4793-a457-c93b89023dcc,CB-KTN-19,150
7591138e-dcb7-4ffa-9b4c-01867ec17caa,CB-KTN-20,720
ff0c823b-2b0a-499f-a945-f64073c0e932,CB-KTN-21,720
4dc563f7-123b-447c-bf26-0047dc69abf4,CB-KTN-22,288
2e9f23a4-bb5c-4471-aa7c-fb4bdfbcbed4,CB-KTN-23,288
56b50c4e-6670-4fab-856c-77e325767526,CB-KTN-24,
557b5793-cf04-44ea-a33a-b6bccea93e5c,CB-KTN-25,
bb3cb5d7-a084-444f-bad0-16dc81db4581,CB-KTN-26,195
48beb290-c431-4d3f-a3d7-c802e1991479,CB-KTN-27,
d8bc008a-fa44-4a3d-b199-1af5402e0be7,CB-KTN-28,
02b0d725-d667-4884-b7ec-0251b9b97daf,CB-KTN-29,
6907d01a-9abb-459b-851a-8c113bab4940,CB-KTN-30,
d3046ca0-8905-49f0-93ab-e4112253ca22,CB-KTN-31,
c1148322-f12b-45dc-bd4e-b005712cb71a,CB-KTN-32,
4d6526d6-88d6-4d7b-93cc-5303d159ea35,CB-KTN-33,
3512ac3a-a7cb-494e-a781-f876f8deaebf,CB-KTN-34,
6bd6cb54-5049-40be-9c86-509a0ba5e1dc,CB-KTN-35,
bb106796-90f7-4e83-9d6e-16e1054dff7c,CB-KTN-36,480
43860abb-abff-4ce8-90dc-7df13edba4fd,CB-KTN-37,288
d0906d5e-87da-4510-bfc4-1937aa43a8ee,CB-KTN-38,
43e6c8ed-accf-493a-92eb-2a751883e1f1,CB-KTN-39,1000
3a5baa28-508e-488b-b466-108ba9cb4b17,CB-KTN-40,1000
0bef2ac3-dfce-4391-a7db-1bc39a1035d1,CB-KTN-41,
25870f42-3b7a-42ff-b48f-e0176ce5035f,CB-KTN-42,288
8b55c277-3ca6-4251-99af-588b7259c5c5,CB-KTN-43,288
73dfd8d3-6e15-436e-b3a7-54d08d74b7c0,CB-KTN-44,288
70ae027a-93c8-4944-a380-8e76d4e7bb89,CB-KTN-45,
972c0178-33a6-45a4-894a-e5c62aa29234,CB-KTN-46,500
9ae4f16f-c93f-4c5c-9723-9edbbfe9f390,CB-KTN-47,
e1945199-ab4f-4398-abb1-f071cccbec27,CB-KTN-48,288
f77b2185-6e53-4ac8-a2cd-a7a709d434ed,CB-KTN-49,
0c5d51f2-6459-486b-a323-366f664fb72e,CB-KTN-50,
e1833077-15ba-4373-a1f1-c0ef048534f5,CB-KTN-51,288
3cbb888a-b9a9-44e4-8568-8501e3ee2bda,CB-KTN-52,
0a8e4d20-c5c9-4517-8844-8d77597c1492,CB-KTN-53,
b275d570-b0a2-4ce7-be50-e2c94af5242d,CB-KTN-54,288
c41b5d24-d1e9-494c-9663-cf00465ac178,CB-KTN-55,170
ee4a3b4f-8bd6-468c-ab2d-be2bde003416,CB-KTN-56,288
5ef7ec7f-bb66-4800-8096-a43c7500c056,CB-KTN-57,
4b7447b6-9aab-4812-a921-47216d98a01a,CB-KTN-58,288
e68c9f6b-a382-45db-99a0-d4447d1ff50c,CB-KTN-59,288
787c88a2-2324-46f5-8397-1a241f09a7e8,CB-KTN-60,
3ed9e1d1-79a6-4f3d-a798-21d979368832,CB-KTN-61,
a129f9a6-b9b0-4cde-adef-00fabf5cbc2b,CB-KTN-62,480
80fccfee-7587-41d8-8f40-c4c6bc45d6e2,CB-KTN-63,480
72aaa7d6-089e-4a08-9503-af42626f2159,CB-KTN-64,240
68c9a34b-2f5c-403d-adcc-c52039745fc6,CB-KTN-65,
6aa5fac1-07a2-417f-8f7b-56569f1ffffe,CB-KTN-66,
720faf89-a5aa-4a5f-9be2-071bed55b54e,CB-KTN-67,240
6769b971-e904-4a3a-b638-a70ad6041f2e,CB-KTN-68,
316d5a87-eafd-4f62-929b-546fc4ab39b7,CB-KTN-69,288
5cbd0e5f-7174-4d6d-a3b0-3843ff9c40dc,CB-KTN-70,288
bdbb5025-38df-4f79-b62a-1eb85de82996,CB-KTN-71,288
c3cb00ef-c91d-4f1d-bc38-44d77fc98c62,CB-KTN-72,
c6d2ddc7-9640-4663-95e4-6b4e7add0c79,CB-KTN-73,
988f05cb-a181-40cb-adce-cd82787ef535,CB-KTN-74,750
ea11e998-0a48-4332-956a-a5ed27bd6947,CB-KTN-75,750
75027498-05ed-4fbb-91a4-c097c82c1995,CB-KTN-76,750
b41dd3a3-9ec8-4447-bc68-f65dfa9d028e,CB-KTN-77,750
97589bb2-99f6-473e-92ae-1b483ad8fdaf,CB-KTN-78,
53832c5a-c26c-431c-9a69-df6af3007df1,CB-KTN-79,
d9a48e26-b7fc-466f-b173-8b2653b6d5f9,CB-KTN-80,
682c5508-c02e-4735-b396-4effe16c7d92,CB-KTN-81,
99bfaf50-a16e-4637-b1c1-fa7001f5cf50,CB-KTN-82,288
0dab325a-5642-4e02-8344-b905e6f610af,CB-KTN-83,720
08f6391f-d985-463c-8be7-8de1e6227472,CB-KTN-84,720
cab2929c-9d11-4f42-9af3-c14b1da1909c,CB-KTN-85,288
dc67de35-ec0d-47a1-83d3-b5487b31d0c1,CB-KTN-86,
2a25831c-3fb2-43cb-b45b-5dfa539e362f,CB-KTN-87,288
b5d4a975-b17c-4c98-a51c-e3c563b74704,CB-KTN-88,
05ea8907-0014-4743-a383-bd77353b0197,CB-KTN-89,480
6c24883a-8e44-4704-8862-e1e7bf3f5b50,CB-KTN-90,
450b6126-961f-46d4-8a82-138eef057e05,CB-KTN-91,
670ef2b2-5fc5-4bec-a48b-ac3cdc178312,CB-KTN-92,288
bf0a9e6c-3d72-4f7a-801c-1dfff0ce94fc,CB-KTN-93,288
d35399d8-d6c4-46cd-8549-55848fe9e12a,CB-KTN-94,
c051ce22-e370-40c6-97bb-e6dad85d6dca,CB-KTN-95,
e7b4688a-82e9-4e56-99e7-6d858a4ae486,CB-KTN-96,
d2cdcdf8-4312-4a88-9107-16539d64c3ed,CB-KTN-97,
87fbb070-381d-42ae-ba2a-3389cd7cb2c9,CB-KTN-98,144
d1910e99-0757-4c04-9f83-d5b615e2455f,CB-KTN-99,288
aaad1546-0100-487c-b32e-f59dfeff9525,CB-KTN-100,288
94f142b2-60f1-483c-a7d1-913148ca3432,CB-KTN-101,
8c069d1f-99ce-4190-b915-748bffd92701,CB-KTN-102,
d7d2b6d0-bdf6-476a-87d5-412bcff9fd13,CB-KTN-103,
1233bc04-7e75-435e-ba24-5c4c2a7ec423,CB-KTN-104,150
b193afee-8217-44c2-a69e-847a5d934647,CB-KTN-105,150
73b51c00-e01d-4dcb-9976-fcc0ef2d8cb8,CB-KTN-106,150
f1fd041e-e228-422e-aa49-6057f38a7390,CB-KTN-107,
2d34b88f-2b74-4028-8fdc-cecc37a168f5,CB-KTN-108,
9ddfd9aa-9d1b-4b21-9957-881a46cd68a6,CB-KTN-109,
9bfb8b53-e775-4eca-84b3-c7457dd8c36b,CB-KTN-110,
adf3ba8f-a206-457a-a14a-dbaeba274048,CB-KTN-111,
74ff7e60-fe52-4dce-8505-fa3b22519bc8,CB-KTN-112,
bdb00f1d-9b0f-45c7-8015-ac92a62f1f9e,CB-KTN-113,
14c31bf9-5c66-44e4-853f-020831d7b9ad,CB-KTN-114,360
1a6f8ccb-6f6a-4a90-bb97-a6d4a3b188cd,CB-KTN-115,
b4c72609-20ae-4ac6-a02f-98a4b892cc7f,CB-KTN-116,250
926c48d2-6798-411a-9be4-0f2b5b159917,CB-KTN-117,100
cb3df972-13c6-4a84-a67c-286c45a36ac6,CB-KTN-118,
9d2edf9d-5637-4912-b0f8-47c404f9dedf,CB-KTN-119,480
bc43ac5d-bbbf-46c9-92ea-3cd5f5264604,CB-KTN-120,480
3d5f097f-c913-4140-b34a-a6fd67c4c422,CB-KTN-121,
d16d5091-7884-449f-9f62-0e161c2f7f98,CB-KTN-122,
0bfed8e4-38b1-417b-b427-71f2944624a8,CB-KTN-123,
aeea80cc-8694-484e-887c-abd30f53d37b,CB-KTN-124,
afecf226-c301-4357-a2e4-59ccb8435cfa,CB-KTN-125,120
8f4c143f-e9fc-489c-9755-9a0aa7e0bbba,CB-KTN-126,
5ec5ff13-014e-4a4f-bf80-ccaecb02adeb,CB-KTN-127,288
ef51066b-03c8-419c-972a-ba51e4d29d44,CB-KTN-128,200
3c58e325-1fca-41b6-a20e-2a6e41353ebe,CB-KTN-129,200
0ab1d1f1-3081-486b-a5ea-2caedcbf7044,CB-KTN-130,
866eb150-75d8-44d6-8979-19cbd30675ae,CB-KTN-131,
e940f921-a187-4725-83e1-0792b626b29c,CB-KTN-132,480
143f5185-89de-437f-8377-dd064430b339,CB-KTN-133,288
8af5a456-7549-4aa4-97be-c2a468ae456a,CB-KTN-134,
